text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
@shahidkapoor @WardaNadiadwala @RangoonTheFilm My Sister #Rangoon Tickets from Novo mall Dubai <U+2764><U+2764> @Shahid_Online… https://t.co/Mi7paYa7KP,FALSE,4,shahidkapoor,25-02-2017 17:14,TRUE,NA,8.35538E+17,56631494,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",_CutiepieHamza,4,FALSE,FALSE,NA,NA
RT @MahirKhiladi: Just watched #Rangoon! What a FREAKING SURPRISE! IT WAS FANTASTIC. If this doesn't work then India doesn't deserve good f…,FALSE,0,NA,25-02-2017 17:14,FALSE,NA,8.35538E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",atishj7,10,TRUE,FALSE,NA,NA
RT @nishabiddan: #Rangoon @shahidkapoor #SaifAliKhan #KanganaRanaut .  Jus 3 words.. Wow wow WOW!! Great movie<ed><U+00A0><U+00BD><ed><U+00B1><U+008C>,FALSE,0,NA,25-02-2017 17:14,FALSE,NA,8.35538E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",atishj7,7,TRUE,FALSE,NA,NA
"RT @pandey_vk18: Happy Birthday to one of the finest actor of Bollywood @shahidkapoor 
Wish u best wishes for #Rangoon ND ur life <ed><U+00A0><U+00BD><ed><U+00B8><U+0087>",FALSE,0,NA,25-02-2017 17:14,FALSE,NA,8.35538E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",atishj7,5,TRUE,FALSE,NA,NA
"Yay<ed><U+00A0><U+00BD><ed><U+00B2><U+0083><ed><U+00A0><U+00BD><ed><U+00B2><U+0083><ed><U+00A0><U+00BD><ed><U+00B2><U+0083>
Weekend vibes<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
#Rangoon time,
Lots to catch up <ed><U+00A0><U+00BD><ed><U+00B2><U+0083><ed><U+00A0><U+00BD><ed><U+00B2><U+0083>",FALSE,0,NA,25-02-2017 17:13,FALSE,NA,8.35538E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",Silenttbirdie,0,FALSE,FALSE,NA,NA
"RT @Bollyhungama: #Rangoon Day 1 (Friday) #Canada #boxoffice - 16,928 USD [Rs. 11.28 lacs] from 19 screens
https://t.co/L3GqYa6nkS",FALSE,0,NA,25-02-2017 17:13,FALSE,NA,8.35538E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",iam_nagendra95,4,TRUE,FALSE,NA,NA
"RT @justvoot: The cast of #Rangoon are killing it with their wit: https://t.co/CuZKuGUw1l

#KanganaRanaut #SaifAliKhan @shahidkapoor @Viaco…",FALSE,0,NA,25-02-2017 17:12,FALSE,NA,8.35538E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",iknirajay,34,TRUE,FALSE,NA,NA
RT @nishabiddan: #Rangoon @shahidkapoor #SaifAliKhan #KanganaRanaut .  Jus 3 words.. Wow wow WOW!! Great movie<ed><U+00A0><U+00BD><ed><U+00B1><U+008C>,FALSE,0,NA,25-02-2017 17:12,FALSE,NA,8.35538E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",haikaluvshahid,7,TRUE,FALSE,NA,NA
"Poll 736

What is your review of the movie #Rangoon? @shahidkapoor #SaifAliKhan #KanganaRanaut

#Trending_Poll",FALSE,1,NA,25-02-2017 17:12,FALSE,NA,8.35538E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Trending_Poll,0,FALSE,FALSE,NA,NA
"RT @SaifManager: Neither of Fandoms supported us , we watched Dangal, Raees, <U+0936><U+093F><U+0935><U+093E><U+092F>, sultan and jolly 2 but they betrayed us,#Rangoon,heart…",FALSE,0,NA,25-02-2017 17:12,FALSE,NA,8.35538E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",5blurryface,59,TRUE,FALSE,NA,NA
RT @MahirKhiladi: Just watched #Rangoon! What a FREAKING SURPRISE! IT WAS FANTASTIC. If this doesn't work then India doesn't deserve good f…,FALSE,0,NA,25-02-2017 17:12,FALSE,NA,8.35538E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",haikaluvshahid,10,TRUE,FALSE,NA,NA
